Params,Train RMSE,Valid RMSE;;;;;RMSE Test;RMSE Valid;;;
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 100},0.4641015679071394,0.48713187856996415;0.4641015679071394;0.48713187856996415;;;4.87132E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 200},0.4438217717416944,0.48342368363170524;0.4438217717416944;0.48342368363170524;;;4.83424E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 300},0.43030578421663956,0.48389297096737566;0.4303057842166395;0.48389297096737566;;;4.83893E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 350},0.4242563626647954,0.4837569249289879;0.424256362664795;0.4837569249289879;;;4.83757E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 100},0.41467796236798266,0.505547404902396;0.41467796236798;0.505547404902396;;;5.05547E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 200},0.3990861994986778,0.5021429936724968;0.399086199498677;0.5021429936724968;;;5.02143E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 300},0.38990857694434594,0.5010708342148374;0.389908576944345;0.5010708342148374;;;5.01071E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 350},0.3819637527534935,0.4995324786765206;0.381963752753493;0.4995324786765206;;;4.99532E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 100},0.37229199281631437,0.4933992833680422;0.372291992816314;0.4933992833680422;;;4.93399E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 200},0.3518103052834117,0.4900485007592824;0.351810305283411;0.4900485007592824;;;4.90049E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 300},0.3418249917964666,0.48871722714535515;0.3418249917964666;0.48871722714535515;;;4.88717E-05
{'xgbregressor__learning_rate':;0.3,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 350},0.3384489534997589,0.4886954675754339;0.338448953499758;0.4886954675754339;;;4.88695E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 100},0.45904709597765786,0.5093260363245502;0.459047095977657;0.5093260363245502;;;5.09326E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 200},0.4371809387912586,0.5060430496573324;0.437180938791258;0.5060430496573324;;;5.06043E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 300},0.42628489580285045,0.5067749402993438;0.426284895802850;0.5067749402993438;;;5.06775E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 350},0.4167842207844705,0.5044381300476249;0.416784220784470;0.5044381300476249;;;5.04438E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 100},0.42332840118513876,0.5054436210072294;0.423328401185138;0.5054436210072294;;;5.05444E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 200},0.39773227171859316,0.4961815985720875;0.397732271718593;0.4961815985720875;;;4.96182E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 300},0.384327771601638,0.4916610051588036;0.384327771601638;0.4916610051588036;;;4.91661E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 350},0.37892659910366594,0.491271753133856;,0.3789265991036;0.491271753133856;;;4.91272E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 100},0.38363700240897936,0.5361969016973391;0.383637002408979;0.5361969016973391;;;5.36197E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 200},0.35551585368045235,0.5321015463583617;0.355515853680452;0.5321015463583617;;;5.32102E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 300},0.34042796689717364,0.5302707167846028;0.340427966897173;0.5302707167846028;;;5.30271E-05
{'xgbregressor__learning_rate':;0.4,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 350},0.33599992773171405,0.5304093216963351;0.335999927731714;0.5304093216963351;;;5.30409E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 100},0.4645131498416849,0.5290774428111353;,0.46451314984168;0.5290774428111353;;;5.29077E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 200},0.43999785050940077,0.5245310971254928;0.439997850509400;0.5245310971254928;;;5.24531E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 300},0.428389872977634,0.5227197616019204;},0.4283898729776;0.5227197616019204;;;5.2272E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;8;8, 'xgbregressor__n_estimators': 350},0.422755566541924,0.5220127185850232;},0.4227555665419;0.5220127185850232;;;5.22013E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 100},0.42143631805348075,0.4961062731809402;0.421436318053480;0.4961062731809402;;;4.96106E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 200},0.40240334908737535,0.4914078115688173;0.402403349087375;0.4914078115688173;;;4.91408E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 300},0.3850061476132226,0.49112061598319184;0.3850061476132226;0.49112061598319184;;;4.91121E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;10;10, 'xgbregressor__n_estimators': 350},0.37753392678846204,0.4891050969865384;0.377533926788462;0.4891050969865384;;;4.89105E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 100},0.38880490783258403,0.5146798199121481;0.388804907832584;0.5146798199121481;;;5.1468E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 200},0.3572374309402132,0.5099020264856851;,0.35723743094021;0.5099020264856851;;;5.09902E-05
{'xgbregressor__learning_rate':;0.5,;'xgbregressor__max_depth':;12;12, 'xgbregressor__n_estimators': 300},0.3385867110528157,0.5106427077985767;,0.33858671105281;0.5106427077985767;;;5.10643E-05
